Label,Id
{breaking},4234
affects-release,4282
status-invalid,721
no_plans_to_fix,4283
size-medium,1327
est_medium,723
status: easy,4285
notanissue,724
x-platform,4286
mod: filesystem,4287
recover-lost-features,5926
screed,725
scoring,726
3rd party binaries,4289
merge-ready,4290
bridgeclient,4291
type:bug/performance,727
area: core,728
has-f5-sdk,3728
level:medium,729
needs release notes,4293
needs: testing,4294
web ui,730
post-v1.0,4295
a-help wanted,4296
type: support/question,731
component: zoneminder,732
cat: documentation,4143
feature-idea,3730
stale_ci,733
qa passed,4298
component: disco pane,4299
v3.2.1,4300
waiting_for_feedback,4301
integrations: django,734
component: splunk,4302
platform: sensor.homematic,735
run management command,4303
pr: ready for review,736
0.8.x,737
needs research,4173
platform: sensor.dublin_bus_transport,4304
type: request,4305
device specific,5799
long-term plan,738
server cli,4382
waiting-for-reply,740
develop-branch,4306
bug / urgent,4307
component:find in files,741
cmd: check,742
server update,743
python4,7072
difficulty: high,6653
considering,4310
platform: notify.slack,744
zbackport 2.4.9,4311
wunderlist bug,745
stretch,746
zbackport 2.4.1,4314
milestone-release0.73,4878
design-fixes,747
prio:mid,4059
platform: sensor.ecobee,748
display-bug,749
needed by: openstack tools,750
platform: sensor.android_ip_webcam,4317
motives,751
judging,4319
xenial,7069
platform: binary_sensor.rpi_pfio,4320
awaiting-upstream,752
type/maintenance,4452
component: gossip,4321
new_inventory,4322
epic: me-models,4323
medium decision,4324
qsd,4325
c:parsing/yaml/,4326
p3 - normal,754
status/ready-to-merge,4923
platform: sensor.upnp,4327
api: pubsub,755
hardcore,4328
pentest,756
platform: light.template,757
x: publeaks,758
component: dweet,379
release-note-needed,759
pyxswf,4330
ntheory,760
myanimelist import,761
core/calico,762
needs changes,763
policies,764
cq2,4332
language / english,765
component: sun,4531
api: vision,6657
platform: media_player.directv,4334
complexity-medium,767
platform: alarm_control_panel.verisure,4699
pr: for current release,768
refactoring - code quality,769
dubious,770
tron commands,6658
c:cli/adhoc,771
update system,3740
priority/p0,4336
priority/p1,4337
priority/p2,4338
priority/p3,4339
primitives,4340
incubate,4341
package-intermediate,773
documentation_only,774
httpserver,4343
alfred3,775
problem in dependency,1797
l10n,4345
